Coptic-Arabic,Arabic,English,Error,Vocalized
ⲉⲗⲗⲉⲇⲓ,الذي,who,,الَّذِي
ϥⲓ,في,in,,فِي
ⲉⲗϥⲓⲟⲙ,الفيوم,the Fayyum,,الْفَيُومِ
ⲃⲉⲭⲉⲛⲉ,وكانا,and they were,,وَكَانَا
ⲓⲉϣⲑⲓϩⲓⲉⲛ,يشتهيان,desiring,,يَشْتَهِيَانِ
ⲉⲛ,أن,that,,أَنْ
ⲓⲉⲛⲍⲟⲣȣ,ينظروا,they see,,يَنْظُرُوا
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,الشَّيْخَ
ⲃⲉⲕⲁⲗⲉ,وقالا,and they said,,وَقَالَا
ⲙⲉⲇⲉ,ماذا,what,,مَاذَا
ⲛⲁϩⲙⲉⲗ,نعمل,we do,,نَعْمَلُ
ⲗⲉⲉϫⲗ,لأجل,on account of,,لِأَجْلِ
ⲉⲗⲙⲉⲗⲓⲑⲓⲓⲛ,المليطين,the Meletians,,الْمَلِيطِيْنَ
ⲗⲉⲉⲛⲛⲉ,لأننا,because we,,لِأَنَّنَا
ⲗⲉ,لا,not,,لَا
ⲛⲉⲣⲓⲇ,نريد,we wish,,نُرِيدُ
ⲛⲉϫⲑⲉⲙⲁϩ,نجتمع,we meet,,نَجْتَمِعُ
ⲡⲉϩⲁⲣⲁⲑⲓⲕⲓ,بهراطيقي,with a heretic,,بَهَرَاطِيقِي
ϥⲉⲗⲉⲙ,فلم,and they not,,فَلَمْ
ⲓⲉⲡⲥⲟⲣⲁ,يبصرا,they see,,يُبْصِرَا
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,الشَّيْخُ
ⲃⲉⲕⲁⲩⲙⲉⲛ,وقوماً,and people,,وَقَوْماً
ϧⲁⲣⲉϫȣ,خرجوا,they came out,,خَرَجُوا
ⲇⲉϥϩⲁ,دفعة,to meet him,,دَفْعَةً
ⲓⲗⲉ,إلى,towards,,إلَى
ⲁⲛⲇ,عند,at,,عِنْدَ
ⲙⲡⲁ,أنبا,Apa,,أنَبَا
ϫⲉϫϫⲟⲓ,جيجوي,Djidjoi,,جَيْجَوِيٌّ
ϥⲓ,في,in,,فِي
ⲉⲗⲕⲁⲗⲁ[ⲗⲓ],القلا[لي],the cells,1,الْقَلَا[لِيّ‎]
ⲗⲓⲉⲥⲙⲁϩȣⲛⲁ,ليسمعون,to listen,,لِيَسْمَعُونَ
ⲙⲉⲛϩ,منه,from him,,مِنْهُ
ⲭⲉⲗⲙ[ⲉⲑ],كلم[ات],words,1,كَلَّمَ[ات]
ⲗⲉⲙ,لم,did not,,لَمْ
ⲓⲉⲭⲉⲗ[ⲗⲉⲙϩⲟⲙ],يكل[مهم],he speaks to them,1,يُكَل[ِّمْهُمْ]
...,,...,1,… 
ⲉⲅϥⲉⲣȣ,إغفروا,Forgive,,إغْفِرُوا
ⲗⲓ,لي,me,,لِي
ϥⲉⲣⲁⲁⲩ,فرأوا,So they saw,,فَرَأَوْا
ⲗⲟϩ,له,to him,,لَهُ
ⲕⲉϥⲉϥ,قفف,baskets,, قُفَف
ϥⲉⲕⲁⲗⲟ,فقالوا,and they said,,فَقَالُوا
ⲗⲉⲑⲉⲗⲙⲓⲇⲟϩ,لتلميذه,to his student,,لِتِلْمِيذِهِ
ⲓⲉ,يا,O,,يَا
ⲉⲡⲣⲁϩⲓⲙ,إبراهيم,Ibrahim,,إِبْرَاهِيمَ
ⲙⲉ,ما,what,,مَا
ⲑⲉⲥⲛⲁȣ,تصنعوا,you do,,تَصْنَعُوا
ⲡⲉϩⲉⲇⲓϩ,بهذة,with these,,بِهَذَةِ
ⲉⲗⲕⲉϥⲉϥ,القفف,the baskets,,الْقُفْفِ
ϥⲉⲕⲁⲗ,فقال,then he said,,فَقَالَ
ⲉⲡⲣⲁϩⲓⲙ,ابراهيم,Ibrahim,,إِبْرَاهِيمُ
ⲛⲟϩⲛ,نحن,we,,نَحْنُ
ⲛⲉⲇϥⲁϩϩⲟⲙ,ندفعهم,we give them,,نَدْفَعُهُمْ
ⲗⲉⲛⲛⲉⲥ,للناس,to the people,,لِلنَّاسِ
ⲭⲉⲇⲉ,كذا,thus,,كَذَا
ⲃⲉⲭⲉⲇⲉ,وكذا,and thus,,وَكَذَا
ϥⲉⲗⲉⲙⲙⲉ,فلما,then when,,فَلَمَّا
ⲥⲉⲙⲁϩ,سمع,he heard,,سَمِعَ
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,الشَّيْخُ
ⲕⲁⲗ,قال,he said,,قَالَ
ⲉⲓⲍⲁ,أيضا,also,,أَيْضًا
ϫⲉϫϫⲟⲓ,جيجوي,Djidjoi,,جَيْجَوِيٌّ
ϩȣ,هو,he,,هُوَ
ⲓⲉⲭȣⲗ,يقول,he says,,يَقُولُ
ⲭⲉⲇⲉ,كذا,thus,,كَذَا
ⲃⲉⲭⲉⲇⲉ,وكذا,and thus,,وَكَذَا
ⲉⲙⲙⲉ,أما,but,,أَمَّا
ϩⲟⲙ,هم,they,,هُمْ
...,,...,1,…
ⲥⲁⲣȣ,ساروا,they walked away,1,سَارُوا
ⲑⲉⲃⲉⲍⲁ,تواضع,they being humble,,تَوَاضِعَ
ⲣⲉⲡⲁϩȣ,ربحوا,they gained,,رَبَّحُوا
ⲭⲉ,كـ,that,1,كَ
...,,...,1,… 
ϩⲉⲣⲁⲡⲑ,هربت,I escaped,,هَرَبْتْ
ⲓⲗⲉ,إلى,towards,,إلَى
ⲁⲗⲗⲁ,الله,God,,اللَّهِ
ⲃⲉⲙⲉⲛ,ومن,and from,,وَمِنْ
ϫⲉϩⲉⲑ,جهة,the side,,جِهَةِ
ⲉⲥⲥⲁⲗⲉϩ,الصالح,of the Good,,الصَّالِحِ
ⲉⲑⲉϧⲁⲗⲗⲁⲥ,أتخلص,I get away,,أَتَخَلَّصُ
ⲙⲉⲛ,من,from,,مِنْ
ⲉϣϣⲉⲓⲧⲁⲛ,الشيطان,the satan,,الشَّيْطَانِ
ⲉⲡⲉⲇⲉ'',أبداً,forever,,أَبْداً
ⲃⲉⲉⲛ,وان,and that,,وَإِنْ
ϣⲉⲓȣϧ,شيوخ,elders,,شُيُوخٌ
ⲙⲉⲛ,من,from,,مِنَ
ⲉⲗⲁϧⲃⲉ,الاخوة,the brothers,,الِاخْوَةِ
ⲉⲭⲉⲗȣ,أكلوا,they ate,,أَكَلُوا
ϥⲓ,في,in,,فِي
ⲥⲁⲇⲁⲕⲁ,صداقة,friendship,,صَدَاقَةٍ
ϥⲉⲍⲁϩⲉⲕ,فضحك,then laughed,1,فَضَحِكَ
ⲁϧ,أخ,a brother,,أَخٌ
